address,amount
0x88ab13c19AfBc91F71f89e02931C2742b23D0F69,316000000000000
0x8BF3cdc44c87798b43137525B3ef6850a91132d6,369000000000000
0x8094029915AEd9BCFF65C189cf71A3E54E0e3B47,395000000000000
0x4348B3F347663c644C4DF94EC5A762A4d9a5BbEB,261000000000000
0xa788697Cb83D73D0511E4b91E0e6bd2dA31C9f03,480000000000000
0x7a8b9d77912414f540510b0aF09EF07d02e250be,267000000000000
0x88D1B5baCF521826E263407572F91A8a3bFB2410,297000000000000
0x2Fa6e159A1bE144953876cC97452fa2f1C700772,265000000000000
0x8929964FeA6eb39a3f2869F6349A9DE7C0E6a922,416000000000000
0xc065f896a5EC093aC93fE6d54D8856dCeff81C8a,256000000000000
0x6392415870894387B180af769e41b1762660Ed86,441000000000000
0x258fd5D06Ca86dF5e339de7CC692A6010CAE7585,426000000000000
0x334d1D91ab5dEaF33CdEFe38e1f89234A939FA6E,325000000000000
0x028bB1DAb704Dd0666AE0e992E36767c506130C2,251000000000000
0x4EFF410cE95bCC2163d2b01c1551F82d21dCB52F,295000000000000
0x31eC6245E9a0a9072A97E2842D0aEEd7e9D684Ad,477000000000000
0x78E279476A36fA637a59e118e25D20631DeD571D,232000000000000
0x380BAa4845349F791e443AaD9c669e734D7c1CE2,420000000000000
0xeB13112F60EE413cADD6AF043DBb2D2a3238f5D4,494000000000000
0xeDe1b3825768D7119E874e1242638dC6b22e2401,203000000000000
0x682F50fE95820f62282732D43D9fF6A47d3135C9,444000000000000
0xf4F9C5519deaf94bB21883c61dC7C2170CDDb871,456000000000000
0x680C371e5Ef1aD764e3690606a399721ecAC883D,479000000000000
0x851900b633c90DE7cEb8a0843aC160bBd2A3361C,436000000000000
0x657bF26eBB902Ecc12EF547182a4bD0c6Ee4b36E,215000000000000
0x8a21479B6A435c4f5A88cd85d6e2D4404F7F5573,452000000000000
0x5daD4C2007a459B3171F7b49D6811EA3968Cdd2F,409000000000000
0x0f3c5A80c999bB360547ceb6519F796A74523696,440000000000000
0xA6a004ed0Fe20696F617Cd19fAd14617B529C126,324000000000000
0x99912b8cB5Bc26BF5a51287664f5caa35FbdB69A,486000000000000
0xE00D81C48F0ff9560B327c4eeb6eAC70DcC167Db,289000000000000
0xbFC1d4dde37dD0cA8779DeE77802AFacc62c34cE,373000000000000
0xE2ca2394fBB631Ec5C15b1342FC7bbC37A676D55,399000000000000
0xf24d04d69aa6dDc2a77a2Bc6dDb38Df0D3564A08,458000000000000
0x4e9C7Dd14E9A0d8677E6de8460e95c69B4b7E91B,373000000000000
0x9a995744a75E73D28CD117881d37Fbd597D77AD4,370000000000000
0xaa1bdbE3124A552FE7fBa47C42305760269194C9,429000000000000
0x8D5d9a376411a5cF673f15B90b33399BBbF6d921,426000000000000
0xb0D79ED2CA9541B2822281f1ED857DE55582975C,232000000000000
0xFba8b617F78178b8e9C0912B4F2eb517520b1f0E,366000000000000
0xd54F124170f11dF89F2Ad15bb0C8ed20b21AB6A6,391000000000000
0x01401e24cCD9FFEb5DEE16DCA81Ec2bfC335B80c,431000000000000
0x8C568d33FA155Ad7732bC141a359EB38B45b66D4,225000000000000
0x48E8E8C01D9B2546d81CebcFC65580fe602F9353,286000000000000
0xD44f6416c4B19aE0bB3617e7fA7D4B907A20c6Fe,485000000000000
0x01e4C544ad1F82C95836E6CFe58D1B026a4FbCb3,300000000000000
0x0A0F719E2Fca663258729628874B4FdD437d6fBa,224000000000000
0x424B5b17E3234bfA15082D64d323f94E59e1584a,348000000000000
0x7969C40016D95B02B5318c60b4A5bCadefC2192A,458000000000000
0x03d22f995AB455993ee12b4046A347F4609b274B,426000000000000
0x692ab1FBcd46bE1419C5b9AA0BafB927Bf6C28af,256000000000000
0xbA4E61254F94C62E812473632DE2e99Ed6dB72Aa,365000000000000
0x012F73Ba4f619961381A6CD64e5F4C48CbDF4002,445000000000000
0x174eF779672b0a47d318eE338127078bb57DD9BA,397000000000000
0xef79D7979886974c5C4c7070095a26986887A017,320000000000000
0x3Ac096474E66cA043EE8AF837884406C081d96F1,313000000000000
0xE90b4b0b3cD8d639FA5dA55B03b02298712a1eBF,304000000000000
0x53c2D79a2666CF314766281c96c8051b767a4e04,290000000000000
0x6243A80730C06eF3bb23Cd5Ca3a4502518BcCAC3,328000000000000
0xA0A4c74ACCF7d9a96025fbE3D85f7322740c502D,247000000000000
0x7a4B1011A3Cf5d3F66C9438FCc37161Af93017B8,495000000000000
0xb8c68B2dB17E9FEBe913CcDA8Dbf644BAcc59b74,445000000000000
0x1772155dC06b9f1451A0Ae4966Aa94Db22A58425,322000000000000
0x57bAf4E1Aa66538D0Ef3504B61aDb958C9f672cE,480000000000000
0x32B30145dBf979A27314059A354cD612C8992353,408000000000000
0xe10553cd0C559D8EBD6697a8AE45F6ED74cd38CB,390000000000000
0x6e4d0fD2a5730Ae1aB4938ab91063B2de8F28185,203000000000000
0x6Ae91c807258456E19CAff37a7ebb863e43a2973,325000000000000
0xc2591ae411D4c333Db7D7C4D100b7615180a0Ec1,429000000000000
0xc8ca0DE0D0FD8B0087086C3979094d2F7C5CaD54,357000000000000
0xc6eD161E857d8658bD09BEabbc4489B93d8B37F4,323000000000000
0x7eE2946f3E1E4490808Dc1B09c0BA0DfbB6b2Baf,345000000000000
0x55DefEd0EDDb37cB5ec71aD412f91Aea52bd9D50,418000000000000
0x310B410D0D2437fBD3221D09ed1EC5F1F09e09Ac,284000000000000
0xd6E72334A27212f4C8100233d3060F58370882A4,394000000000000
0xd4B4A250C84fE59897974BE0e6Ae8EDa940AaD9e,407000000000000
0x5B64858A08d727444e30479461E89C8113c35Ab9,299000000000000
0x767291B6B5839f3Dbe4e762b4A816cf41b03a002,318000000000000
0xe6A9A60EBd6f9cE9E97B660886D19dD9aE6950b9,246000000000000
0xb1421Aa820226FBF9C7bc12f57e34c3F799DC63B,334000000000000
0x5a127daE773b17A0C8f85D58e6bC4b8298205540,340000000000000
0x9de681e21cfc7edE87B11Fa5BDD49E48af942f91,398000000000000
0x98C98a935E8fBa21bdf0781A8915d111f2Ee9d9c,386000000000000
